video_id,author,text,like_count,published_at,source_channel,video_title,text_length,len_bucket,clean_text,sentiment_label,sentiment_score,polarity
OHGnsJYi4tQ,@gunawan0748,Nonton Aja lah Biar tau Perkembang Hp .. walaupun hp sendiri gak berkembang 😂,2022,2026-01-22T09:25:48Z,GadgeTin,Saya suka sama harga Redmi Note 15 Pro 5G!,14,long(14-30),nonton aja lah biar tau perkembang ponsel walaupun ponsel sendiri tidak berkembang,neutral,0.45577800273895264,0
OHGnsJYi4tQ,@mcsennaa,Masih pakai Redmi Note 10S,1550,2026-01-22T09:17:41Z,GadgeTin,Saya suka sama harga Redmi Note 15 Pro 5G!,5,short(3-5),masih pakai redmi note 10s,neutral,0.9316155314445496,0
OHGnsJYi4tQ,@RAMZ_RINZ,Semoga tahun ini bisa dapat beli hp baru,228,2026-01-22T09:32:29Z,GadgeTin,Saya suka sama harga Redmi Note 15 Pro 5G!,8,medium(6-13),semoga tahun ini bisa dapat beli ponsel baru,neutral,0.9891035556793213,0
OHGnsJYi4tQ,@JOXIYE,"aku pengguna android yg gila gilaan, sekarang aku udh ganti pake iphone kurang lebih 1 th, sumpah rasanya pengen jual pengen ganti android lagi, gatau kenapa gabisa move on sama fitur nya yg bebas😭😭😭.",9,2026-01-30T17:16:22Z,GadgeTin,Saya suka sama harga Redmi Note 15 Pro 5G!,34,very_long(31+),aku pengguna android yang gila gilaan sekarang aku sudah ganti pake iphone kurang lebih 1 th sumpah rasanya pengen jual pengen ganti android lagi gatau kenapa tidak bisa move on sama fitur nya yang bebas,negative,0.9978729486465454,-1
OHGnsJYi4tQ,@RADITYT-x1h,Oppo rena 15 pro max plsss 🙏🙏🙏🙏🙏,34,2026-01-23T05:53:18Z,GadgeTin,Saya suka sama harga Redmi Note 15 Pro 5G!,7,medium(6-13),oppo rena 15 pro max plss,positive,0.7517291307449341,1
OHGnsJYi4tQ,@heemiyo3505,0:42  ehem.. tanggal kembar😂😂😂,48,2026-01-22T11:01:55Z,GadgeTin,Saya suka sama harga Redmi Note 15 Pro 5G!,4,short(3-5),0 42 ehem tanggal kembar,negative,0.9952540397644043,-1
OHGnsJYi4tQ,@rendy-rikka,Bang bahas AQUOS R6 dong,16,2026-01-23T07:43:29Z,GadgeTin,Saya suka sama harga Redmi Note 15 Pro 5G!,5,short(3-5),bang bahas aquos r6 dong,neutral,0.9758172631263733,0
OHGnsJYi4tQ,@FikriArdiansyahPutra,"Menit 8:35 saran saya bg kalo tes ban hp di bagian tumpul"" samping itu bg itu paling sensitif untuk layar",2,2026-01-25T13:02:06Z,GadgeTin,Saya suka sama harga Redmi Note 15 Pro 5G!,20,long(14-30),menit 8 35 saran saya bg kalau tes ban ponsel di bagian tumpul samping itu bg itu paling sensitif untuk layar,neutral,0.9629722237586975,0
OHGnsJYi4tQ,@GunturNusantaraPutra,YANG DI TUNGGU-TUNGGU AKHIRNYA TIBA 🎉,9,2026-01-22T10:47:01Z,GadgeTin,Saya suka sama harga Redmi Note 15 Pro 5G!,6,medium(6-13),yang di tunggu tunggu akhirnya tiba,neutral,0.9251411557197571,0
OHGnsJYi4tQ,@yosepirawan5828,"Syukuri hp yg kita pegang sekarang,impian bagi yg spek dibawah kita punya.",76,2026-01-22T10:24:30Z,GadgeTin,Saya suka sama harga Redmi Note 15 Pro 5G!,12,medium(6-13),syukuri ponsel yang kita pegang sekarang impian bagi yang spek dibawah kita punya,positive,0.9553524851799011,1
